lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,tenurec_owned_outright,tenurtc_social_rented,good_health,bad_health
E01000907,Camden 001A,9.9,20.1,21.1,73.5,7.9,12.6,54.4,78,8.7
E01000908,Camden 001B,8,17.3,13.2,72.4,8,14,52.6,78.2,9.4
E01000909,Camden 001C,4.9,29.3,7.3,84.1,2.9,38.3,18.6,85.6,4.5
E01000912,Camden 001D,8.8,16.6,15.7,77.3,9.2,15.3,51.3,77.2,8.2
E01000913,Camden 001E,2.1,34.6,3.7,88.2,1.3,47.1,1.9,89.6,3.1
E01000893,Camden 002A,3.6,23.8,5.7,88.1,1,39,4.5,90.2,2.7
E01000894,Camden 002B,3.6,32.5,2.9,84.2,1.5,39.7,4.2,91.1,2.1
E01000895,Camden 002C,3,23.1,6.1,79.8,3.1,23.2,24.1,83.3,5.2
E01000896,Camden 002D,3.9,32.3,2.5,84.8,2.2,39.9,4.1,89.8,3
E01000899,Camden 002E,2.5,31.2,4.6,87.1,1.4,46.6,1.7,91,2.5
E01000910,Camden 003A,3.9,28.1,5.6,84.2,2.9,38.3,16.5,88.9,3
E01000911,Camden 003B,6.4,23.4,14,78,7,20.7,39.7,83.7,5.3
E01000921,Camden 003C,4.8,22.2,7.5,76.4,6.1,11.2,21,86.8,4.1
E01000923,Camden 003D,7.1,20.7,10.4,79.1,5.4,22.6,33.8,80.8,7.6
E01000928,Camden 003E,5.7,20.1,12.9,74.5,6.7,18.8,37.1,81.7,6
E01000878,Camden 004A,4.5,29.3,8,68.5,4.1,35.1,11.3,87.6,3.1
E01000879,Camden 004B,4.5,26.4,5.5,80.4,2.3,30.1,8.3,90.1,2.5
E01000880,Camden 004C,3.3,21.7,5.5,75.8,2.2,27.9,5.3,91.1,1.8
E01000884,Camden 004D,3.4,25.5,5.7,79.9,2.2,37.1,4.2,90.5,2.2
E01000885,Camden 004E,3.1,32.4,5.9,75.7,1.3,43.2,8.4,87.2,3.5
E01000871,Camden 005A,6.5,25.8,6.5,70.3,4.7,29,14.4,86.8,3.8
E01000872,Camden 005B,5.5,20.9,7.6,66.9,7.4,9.4,14.8,86.5,4.2
E01000873,Camden 005C,4.2,23.5,8.5,81.3,4.6,26.3,13.8,89.4,3.8
E01000874,Camden 005D,3.6,27,5,75.6,2.3,27.7,3,91,2.1
E01000877,Camden 005E,5.2,25.6,5,79.1,3.2,17.9,9.8,87.7,3.6
E01000886,Camden 006A,4.4,22.4,9.4,82.8,2.6,24.9,17.7,86.9,4.2
E01000887,Camden 006B,5.8,22.2,8.8,77.1,2.7,18.6,19.1,85.1,5.2
E01000888,Camden 006C,6.6,20.9,9.6,77.6,4.9,21.5,30.7,85.8,5.6
E01000892,Camden 006D,5,21,12,74.4,5.8,21.1,28.3,84,5.6
E01000903,Camden 006E,6.9,20.6,6.4,74.1,5.1,24.6,32.1,82.4,6
E01000889,Camden 007A,11.8,15.8,20.2,60.9,11.7,5.8,71.8,74.7,11.1
E01000890,Camden 007B,13.3,14.7,16.3,61,14.6,2.7,82.8,70.3,13
E01000891,Camden 007C,13.8,12.1,20.8,56.7,15.7,5.5,68.5,75,11.1
E01000901,Camden 007D,11.4,9.5,23.3,49.8,13.8,4.4,66.1,79.3,7.3
E01000922,Camden 007E,6,16.2,11.2,72.3,10.8,13.3,42.1,85.4,4.7
E01000927,Camden 007F,4.5,22.3,12.1,76.8,5.6,25.9,21.5,84.3,4.7
E01000881,Camden 008A,4.6,22.6,5.4,67.9,5.2,22.2,9.8,88.3,3.5
E01000882,Camden 008B,2.6,27.9,4.3,80.9,1.4,29,2.7,92.1,1.3
E01000883,Camden 008C,5,23.5,4.4,64.1,2.3,20.8,7.8,89.1,2.9
E01000897,Camden 008D,3.3,30.1,3.6,79.5,0.9,38.6,2.2,90.8,2.4
E01000898,Camden 008E,5,18.4,6.1,58.5,8.8,13.3,44.1,84.7,5.5
E01000866,Camden 009A,7.1,18.3,12.4,70.6,9.1,15.8,44,80.3,7.6
E01000870,Camden 009B,7.4,20.3,12.1,74.8,10.3,12.4,45.2,80.9,7.6
E01000924,Camden 009C,5,25.8,8.1,78.7,5.3,19.9,24.8,86.3,4.9
E01000925,Camden 009D,11.9,12.6,18.6,55.3,19,8.1,63,78.8,7.9
E01000926,Camden 009E,3.9,16.8,11.2,59.3,7.6,10.6,33.1,86.4,5.1
E01000969,Camden 010A,3.9,23.8,4.9,74.5,2.9,19.7,5,90.5,2.5
E01000970,Camden 010B,3.4,23.7,3.7,81.4,3.1,14.9,7.3,91.3,2.8
E01000971,Camden 010C,4,26.7,6,80.9,1.9,25.6,10.9,88.2,3.9
E01000972,Camden 010D,8.2,17.3,13.6,56.9,16.3,9.3,46.2,80.6,8.7
E01000973,Camden 010E,7.1,21.1,10.4,63.2,10.6,9.3,28.2,84.2,5.9
E01000842,Camden 011A,3.9,25.7,4.3,81,2.4,31.5,11.5,89.7,2.5
E01000844,Camden 011B,3.1,25.6,3.7,75.5,2.1,22.1,7.7,89.5,3
E01000848,Camden 011C,3.9,30.1,3.1,78.8,1.7,29.3,9.1,89,2.8
E01000849,Camden 011D,3.2,18.3,4.8,76,2.8,25.2,7.3,88.3,2.9
E01000900,Camden 012A,8.8,21.1,13.6,72.2,11,13.5,42.9,80.6,7.9
E01000902,Camden 012B,10.6,14.1,20,53.1,15,7.8,62.2,76.9,7.9
E01000904,Camden 012C,8.8,18.6,16.6,66.3,11.1,9.7,52.1,80.9,7.2
E01000905,Camden 012D,11.9,12.1,22.9,52.1,18.9,1.6,77.2,74.6,10
E01000906,Camden 012E,3.9,26.1,6,77.5,4.3,28.8,12.8,85.6,4.6
E01000875,Camden 013A,5.7,20.6,10.1,67.5,8.6,12.6,15.9,84.8,5.5
E01000876,Camden 013B,9.7,19.4,12.6,58.4,15.7,8,42.8,80.1,8.5
E01000931,Camden 013C,10.9,16.8,13.6,59,15.4,5.4,42.5,78.6,8.8
E01000932,Camden 013D,4.2,24.4,8.7,69.7,8.3,14.9,27.6,83.4,6.1
E01000974,Camden 013E,7.6,19.1,11.3,61,15.2,9,35.8,81.3,7.1
E01000843,Camden 014A,6.8,22.6,9,71.2,7,24.3,22.2,87.3,3.7
E01000845,Camden 014B,3.7,22.7,5.7,78.1,4.4,26.1,12.7,87.6,4.5
E01000846,Camden 014C,9.5,16.6,19,58.7,17.5,15.4,58.3,82.5,6.3
E01000847,Camden 014D,8.7,17.4,14.2,59.3,11.1,17.7,40.8,85.1,5.2
E01000864,Camden 015A,5.8,22.3,10.5,73.6,8.2,16.3,28,84.5,5.3
E01000865,Camden 015B,4.8,20.6,4.9,74.3,3.6,20.4,27.1,90.2,3.5
E01000867,Camden 015C,7,18.1,12.7,59.3,10,6.8,45.3,80.6,7.2
E01000868,Camden 015D,12.9,14.6,17.8,47.6,25.8,5.7,71.7,78.5,8.3
E01000869,Camden 015E,6.1,20.1,9.1,72.5,8.9,15.8,25.9,84.7,5.3
E01000962,Camden 016A,4.4,27.1,6,74.7,3.1,21.1,5.9,92.7,2.2
E01000964,Camden 016B,5.7,22.2,11.1,74.6,5.3,15.3,30.3,86,4.2
E01000965,Camden 016C,3,25,8.1,71.4,5.1,20.3,18.2,87.5,3.5
E01000966,Camden 016D,2,29.8,2.8,83.9,0.9,26.8,3.7,92.3,2.1
E01000968,Camden 016E,3.8,25.1,4.9,74.6,4.7,18.4,18.2,87.2,4.7
E01000960,Camden 017A,6.7,24.1,6.8,61.2,5.1,18.5,17.2,86.1,3.6
E01000961,Camden 017B,10.2,17.5,17.6,53.7,11.3,16.7,38.3,81,6.3
E01000963,Camden 017C,4.2,23.5,7.1,51.7,5.5,25.4,8.3,85.6,4.6
E01000967,Camden 017D,3.5,24.9,5.3,75.6,3.8,35.2,12.4,87.4,3.1
E01000857,Camden 018A,3,23,6.6,80.8,2.8,26.2,24.2,83.4,5.7
E01000858,Camden 018B,9.7,17.2,16.3,57.8,14.9,7.6,57.3,78.5,9.2
E01000859,Camden 018C,4,22.4,3.8,86.9,2,28.6,10.8,89.2,3.6
E01000860,Camden 018D,4.5,16.7,4.1,82.9,4,17.2,47.8,79.3,6.7
E01000862,Camden 018E,2.9,31.3,4.3,82,3,34.7,6.4,90.9,2.5
E01000856,Camden 019A,11.9,17.7,14.3,57.1,10.9,10,49.5,81.2,7.5
E01000861,Camden 019B,7.4,14.7,11,69.5,8.3,11.8,31.4,83.3,5.4
E01000957,Camden 019C,8.8,22,12.2,61.1,14.9,9.8,38,81.1,7.1
E01000958,Camden 019D,8.4,15.1,16.8,54,12.5,5,47.2,84.7,5.5
E01000959,Camden 019E,9.3,12.5,15,55.6,12.7,6.7,64.3,75.1,7.9
E01000929,Camden 020A,12.2,14.3,18,53.4,16.4,10.2,57.7,78.3,9.1
E01000930,Camden 020B,9.3,13,9.9,58.4,14.1,6.6,46.1,76.5,8.8
E01000933,Camden 020C,6.5,22.4,6.6,73,5.4,16.1,17.4,84.6,5.6
E01000934,Camden 020D,11.3,14.1,14.1,51.6,15.1,7.7,46.4,75.9,8
E01000935,Camden 020E,10.4,16,19.2,52.3,22.8,6.1,66.7,80.2,7
E01000863,Camden 021A,6.5,23.8,7.9,76.6,7.6,12.4,19.8,87,4.2
E01000946,Camden 021B,4.8,19.2,9.9,64.6,7.5,21.8,30.9,85.6,5.8
E01000947,Camden 021C,7.9,16.5,7.7,63.7,10.8,11.3,26.3,84.6,5.8
E01000948,Camden 021D,4.6,23.3,8.5,74,7.8,18.9,33.5,83.6,6.7
E01000952,Camden 022A,10.1,17.3,17.6,51.2,15,6.7,60.9,77.2,9.6
E01000953,Camden 022B,9.1,15.4,13.8,46.8,13.1,6.2,65.5,73.6,11.8
E01000954,Camden 022C,13.4,12,23.1,44.1,19.3,6.4,79.1,79.3,8.1
E01000955,Camden 022D,10.4,12.2,14.5,51.5,13.7,1.5,84,73.1,9.2
E01000956,Camden 022E,10.9,12.7,14,41.2,13.8,4.6,58.1,80.4,7.1
E01000944,Camden 023A,11.8,11.5,15.1,48.2,9.3,7.8,52.9,84.3,6.2
E01000945,Camden 023B,6.8,15.5,11.8,46.8,10.6,8.2,42.4,85.8,4.3
E01000949,Camden 023C,8.5,16.9,14.6,59.8,10.5,4.2,80,79.5,5.2
E01000950,Camden 023D,13.4,9.5,17.8,39.7,12.1,5.8,67.1,77.6,8.8
E01000951,Camden 023E,13.5,12.3,14.4,46.4,12.1,8.6,63.8,77.8,7.6
E01000936,Camden 024A,10.2,16.2,18.5,48.9,15.2,10.8,50.6,85.9,5.4
E01000938,Camden 024B,10.5,13,17.1,46.1,18.4,5.3,47.8,85.4,5
E01000939,Camden 024C,13.7,12.6,14.8,33.4,13.4,5.8,63.7,78.7,7
E01000940,Camden 024D,12.2,17,9.7,51.3,9.4,4.1,65.9,80.5,6.3
E01000853,Camden 025A,13.4,12.3,11.4,59.7,11.6,9.8,63.1,72.7,10.3
E01000937,Camden 025B,7.3,13.5,7.2,52.3,7.8,12.4,24.7,88.9,3.9
E01000941,Camden 025C,12.1,13.8,16.3,47.5,12.3,4.7,77,74,9.8
E01000942,Camden 025D,4.3,15.6,5.1,60.4,3.7,19.4,23,89.5,2.4
E01000943,Camden 025E,7.6,13.6,5.9,63.7,5.8,15.4,25.2,85.8,4.3
E01000850,Camden 026A,3.1,20.2,2.9,63.9,4.3,17,17.9,88.6,3.8
E01000851,Camden 026B,3.9,18.1,3.6,61.9,5,13.1,17.1,91.3,2.6
E01000852,Camden 026C,4.2,12.3,3.7,58.8,3.6,19.4,24.6,88,3.2
E01000854,Camden 026D,6.5,14.8,8.4,41.7,12.5,11.8,33.8,86.5,5.2
