population_density,population_density_log
10.7,2.370243741
17.5,2.862200881
22.9,3.131136911
89.6,4.49535532
161.7,5.085742767
52.8,3.966511191
22.2,3.100092289
9.8,2.282382386
15.1,2.714694744
108.3,4.684905154
13,2.564949357
8.8,2.174751721
12.4,2.517696473
8.5,2.140066163
25.3,3.230804396
19.2,2.954910279
17.7,2.87356464
20.4,3.015534901
24.5,3.198673118
30.4,3.414442608
30.6,3.421000009
14.7,2.687847494
12.2,2.501435952
8.6,2.151762203
11.1,2.406945108
10.3,2.332143895
10,2.302585093
9.4,2.240709689
12.2,2.501435952
10.2,2.32238772
11.7,2.459588842
7.6,2.028148247
7.8,2.054123734
10.6,2.360854001
19.1,2.949688335
10.1,2.312535424
14.8,2.694627181
12.2,2.501435952
14.1,2.646174797
19.8,2.985681938
17.1,2.839078464
14.6,2.681021529
12.7,2.541601993
9.8,2.282382386
8.3,2.116255515
9.2,2.219203484
16.7,2.815408719
6.9,1.931521412
8,2.079441542
14,2.63905733
23.6,3.161246712
10.5,2.351375257
11.4,2.433613355
10.1,2.312535424
7.8,2.054123734
9.9,2.292534757
8.4,2.128231706
11.7,2.459588842
8.6,2.151762203
13.8,2.624668592
11.7,2.459588842
11.7,2.459588842
14.7,2.687847494
6.6,1.887069649
11.5,2.442347035
8.3,2.116255515
11.8,2.468099531
8.3,2.116255515
9.9,2.292534757
9.8,2.282382386
10.9,2.388762789
8.1,2.091864062
8.4,2.128231706
11.5,2.442347035
9.5,2.251291799
12.6,2.533696814
10.8,2.379546134
13,2.564949357
8.2,2.104134154
11.4,2.433613355
11.9,2.4765384
19.3,2.960105096
37.2,3.616308761
8.1,2.091864062
21.8,3.08190997
9.7,2.272125886
20.6,3.025291076
17,2.833213344
11.9,2.4765384
11.4,2.433613355
11.7,2.459588842
24.2,3.186352633
7.3,1.987874348
9.8,2.282382386
11.6,2.451005098
10.9,2.388762789
8.7,2.163323026
6.2,1.824549292
16.1,2.778819272
48.9,3.889777396
15.6,2.747270914
19.7,2.980618636
8.7,2.163323026
60.3,4.099332104
5.6,1.722766598
6.4,1.85629799
15.9,2.766319109
5.8,1.757857918
27.1,3.299533728
6.2,1.824549292
6.8,1.916922612
4.8,1.568615918
8.9,2.186051277
8.2,2.104134154
7.9,2.066862759
4.9,1.589235205
5.9,1.774952351
12.6,2.533696814
4.3,1.458615023
7.3,1.987874348
7,1.945910149
19.5,2.970414466
13.4,2.595254707
12.5,2.525728644
18.9,2.939161922
7.4,2.00148
14.7,2.687847494
7.6,2.028148247
13.5,2.602689685
32.1,3.46885603
44.8,3.802208139
16.8,2.821378886
15.3,2.727852828
13,2.564949357
22.8,3.126760536
5.9,1.774952351
19,2.944438979
165.4,5.108366783
63.7,4.154184563
12.7,2.541601993
11.4,2.433613355
11.4,2.433613355
15.1,2.714694744
10.6,2.360854001
15,2.708050201
8.5,2.140066163
9.8,2.282382386
25,3.218875825
10.6,2.360854001
10.5,2.351375257
11.1,2.406945108
11.7,2.459588842
24.7,3.206803244
9.5,2.251291799
5.1,1.62924054
8.5,2.140066163
21.6,3.072693315
11.3,2.424802726
11.8,2.468099531
11.7,2.459588842
10.7,2.370243741
10.2,2.32238772
12.4,2.517696473
7.7,2.041220329
8,2.079441542
9.8,2.282382386
10.4,2.341805806
6.4,1.85629799
10.1,2.312535424
12.5,2.525728644
14.8,2.694627181
16.4,2.797281335
32.6,3.484312288
8.7,2.163323026
14.7,2.687847494
11.2,2.415913778
11.1,2.406945108
10.2,2.32238772
10.5,2.351375257
12.6,2.533696814
10.6,2.360854001
13,2.564949357
6.5,1.871802177
26.2,3.265759411
17.5,2.862200881
16,2.772588722
12.8,2.549445171
10.2,2.32238772
9.2,2.219203484
9,2.197224577
10,2.302585093
9.1,2.208274414
12.2,2.501435952
113.1,4.728272383
22.2,3.100092289
11.5,2.442347035
5.5,1.704748092
8.7,2.163323026
14.2,2.653241965
10.3,2.332143895
11.6,2.451005098
9.5,2.251291799
7.3,1.987874348
14.5,2.674148649
9.1,2.208274414
9.7,2.272125886
10.4,2.341805806
11.2,2.415913778
4.9,1.589235205
5,1.609437912
12.5,2.525728644
10.3,2.332143895
10.7,2.370243741
17.3,2.850706502
13.4,2.595254707
14.4,2.667228207
14.2,2.653241965
54.3,3.994524227
10.6,2.360854001
15.2,2.721295428
49.6,3.903990834
12.8,2.549445171
13.1,2.57261223
6.5,1.871802177
13.3,2.587764035
6.9,1.931521412
7.1,1.960094784
17.7,2.87356464
10.7,2.370243741
10.9,2.388762789
13.6,2.610069793
13.6,2.610069793
13.5,2.602689685
14.6,2.681021529
15.4,2.734367509
16.2,2.785011242
6,1.791759469
9.4,2.240709689
11,2.397895273
10.4,2.341805806
13.2,2.58021683
10.9,2.388762789
13.7,2.617395833
15.6,2.747270914
11.1,2.406945108
11.1,2.406945108
10.8,2.379546134
6.5,1.871802177
7.4,2.00148
21.9,3.086486637
16.2,2.785011242
6.6,1.887069649
18,2.890371758
12.7,2.541601993
10.9,2.388762789
8.5,2.140066163
6.9,1.931521412
12.8,2.549445171
7.5,2.014903021
12.2,2.501435952
10.2,2.32238772
12.2,2.501435952
10.2,2.32238772
13.9,2.63188884
15.1,2.714694744
13.7,2.617395833
6.1,1.808288771
15.4,2.734367509
11,2.397895273
7.6,2.028148247
13.5,2.602689685
35.7,3.575150689
8.8,2.174751721
7.7,2.041220329
10.5,2.351375257
11.1,2.406945108
10,2.302585093
16,2.772588722
4.2,1.435084525
10.6,2.360854001
9.1,2.208274414
8.4,2.128231706
17.2,2.844909384
97.4,4.578826211
16.9,2.827313622
89.5,4.494238625
126.3,4.838660029
14,2.63905733
21.9,3.086486637
7.3,1.987874348
4.5,1.504077397
7.1,1.960094784
8.8,2.174751721
13.4,2.595254707
19.4,2.965273066
8.1,2.091864062
44.5,3.795489189
6.5,1.871802177
11.5,2.442347035
12.4,2.517696473
9.1,2.208274414
8.1,2.091864062
14.5,2.674148649
9.3,2.2300144
12.5,2.525728644
8.6,2.151762203
7.5,2.014903021
8.3,2.116255515
7.4,2.00148
7.5,2.014903021
8.2,2.104134154
6.6,1.887069649
7.1,1.960094784
10.7,2.370243741
11.7,2.459588842
20,2.995732274
25.4,3.234749174
8.7,2.163323026
8.4,2.128231706
9.6,2.261763098
8.5,2.140066163
9.9,2.292534757
7.7,2.041220329
8.3,2.116255515
23.2,3.144152279
6.2,1.824549292
18.7,2.928523524
6.8,1.916922612
17.9,2.884800713
18.2,2.901421594
15,2.708050201
8.8,2.174751721
6,1.791759469
10.1,2.312535424
13.1,2.57261223
7.1,1.960094784
7.8,2.054123734
15.6,2.747270914
28.6,3.353406718
12.5,2.525728644
13.6,2.610069793
14.4,2.667228207
8,2.079441542
10.9,2.388762789
6.7,1.902107526
5.5,1.704748092
4.3,1.458615023
8.8,2.174751721
15.6,2.747270914
9.5,2.251291799
9.8,2.282382386
10.9,2.388762789
13.1,2.57261223
7.1,1.960094784
12.7,2.541601993
11.3,2.424802726
7.9,2.066862759
13.2,2.58021683
8.1,2.091864062
9.8,2.282382386
