lower_super_output_area,names,population_density,population_density_log,household_composition_couple_household_without_dependent_children,household_composition_other_multi_person_household,tenure_owned_outright,tenure_owned_with_a_mortgage_or_loan,dwelling_type_whole_house_or_bungalow_detached,dwelling_type_flat_maisonette_or_apartment,economic_activity_employment_rate,qualifications_highest_level_of_qualification_apprenticeship,qualifications_highest_level_of_qualification_other_qualifications,health_fair_health,health_bad_or_very_bad_health,road_casualties_2011_total
E01000907,Camden 001A,10.7,2.370244 ,20.1,13.6,12.6,18,2.2,78.3,58.6,1,7.5,13.2,8.7,1
E01000908,Camden 001B,17.5,2.862201 ,17.3,7.1,14,17.7,1.7,85,62.3,0.8,7.3,12.4,9.4,0
E01000909,Camden 001C,22.9,3.131137 ,29.3,15.4,38.3,21.2,11.7,57.8,65.7,0.7,4.7,10,4.5,1
E01000912,Camden 001D,89.6,4.495355 ,16.6,16.3,15.3,14.6,1,87.2,58.8,1.1,6.2,14.6,8.2,12
E01000913,Camden 001E,161.7,5.085743 ,34.6,13.3,47.1,27.6,27.1,45.3,71.8,0.4,5.5,7.3,3.1,2
E01000893,Camden 002A,52.8,3.966511 ,23.8,14.4,39,20.6,1.2,77.4,74.1,0.7,6.1,7,2.7,0
E01000894,Camden 002B,22.2,3.100092 ,32.5,11,39.7,18.7,4.2,54.6,72.8,0.2,7.8,6.8,2.1,4
E01000895,Camden 002C,9.8,2.282382 ,23.1,8.4,23.2,12.5,1.3,76.3,72.6,1,8.3,11.5,5.2,2
E01000896,Camden 002D,15.1,2.714695 ,32.3,10.3,39.9,19.4,5,64.6,71.6,0.4,5.8,7.2,3,0
E01000899,Camden 002E,108.3,4.684905 ,31.2,8.2,46.6,22.2,8.5,51.2,67.9,0.4,8.7,6.5,2.5,4
E01000910,Camden 003A,13,2.564949 ,28.1,16.8,38.3,21.6,6.7,55.9,69.7,0.9,3.5,8.1,3,1
E01000911,Camden 003B,8.8,2.174752 ,23.4,13.6,20.7,22.6,1.5,72.4,65.5,1.5,5.9,11,5.3,3
E01000921,Camden 003C,12.4,2.517696 ,22.2,17.9,11.2,15.5,0.7,88.9,73,0.6,5.7,9.1,4.1,16
E01000923,Camden 003D,8.5,2.140066 ,20.7,14.2,22.6,24.8,0.8,61.7,65.1,0.2,5.1,11.6,7.6,0
E01000928,Camden 003E,25.3,3.230804 ,20.1,17.3,18.8,22.6,1.6,74.7,65.5,1.3,7.7,12.3,6,18
E01000878,Camden 004A,19.2,2.954910 ,29.3,10.9,35.1,20.5,7.1,86.3,47.6,0.6,11,9.2,3.1,1
E01000879,Camden 004B,17.7,2.873565 ,26.4,10.8,30.1,19.6,7.8,81,62,1,8.4,7.4,2.5,2
E01000880,Camden 004C,20.4,3.015535 ,21.7,16.1,27.9,22.9,7.6,83.1,70.6,0.5,8.9,7.1,1.8,4
E01000884,Camden 004D,24.5,3.198673 ,25.5,13.2,37.1,25.8,12.1,64.7,65.8,0.4,9.2,7.4,2.2,2
E01000885,Camden 004E,30.4,3.414443 ,32.4,11.3,43.2,15.5,16.5,61.1,63.9,0.4,11.3,9.3,3.5,1
E01000871,Camden 005A,30.6,3.421000 ,25.8,23.1,29,26.4,8.1,56.8,66.1,1,9.5,9.4,3.8,2
E01000872,Camden 005B,14.7,2.687847 ,20.9,19.9,9.4,15.8,4.6,81.5,70.7,1.1,12.7,9.3,4.2,2
E01000873,Camden 005C,12.2,2.501436 ,23.5,20.8,26.3,25.6,2.1,67.3,75.5,1.2,7.4,6.8,3.8,0
